5	4	4	4	0
11	0	5	1	0
1	1	7	8	0
10	0	5	2	0
2	2	10	3	0
4	1	6	5	1
5	0	6	4	2
1	0	4	10	2
0	4	8	5	0
3	4	4	6	0
5	4	7	1	0
0	0	11	6	0
0	6	6	2	3
10	4	3	0	0
2	4	5	2	4
0	0	10	6	1
0	2	10	5	0
0	8	7	2	0
5	0	8	4	0
4	4	7	1	1
0	0	4	9	4
5	6	5	1	0
13	0	4	0	0
12	0	4	0	0
6	6	2	2	0
10	0	3	3	0
3	1	10	1	1
14	0	2	0	0
0	2	9	4	1
9	4	3	0	0
2	3	5	2	4
0	1	5	4	6
5	0	8	1	2
12	0	3	1	0
0	7	8	1	0
7	1	6	2	0
12	0	4	0	0
4	0	6	5	1
0	3	9	4	0
1	3	8	3	1
2	0	8	2	4
0	0	2	7	7
0	2	5	8	1
10	0	6	0	0
1	0	3	4	8
9	3	4	0	0
0	4	7	2	3
1	6	5	4	0
1	8	3	4	0
1	1	10	3	1
7	0	5	4	0
10	2	3	1	0
2	0	9	5	0
0	4	5	7	0
2	1	5	7	1
3	0	4	5	4
10	2	4	0	0
10	0	4	2	0
5	2	4	5	0
1	5	9	1	0
7	1	6	0	2
3	1	8	2	1
0	1	8	4	2
1	3	3	7	1
6	1	6	1	1
0	2	4	7	2
7	1	3	4	0
7	1	5	2	0
14	0	0	1	0
1	2	4	8	0
11	1	1	2	0
0	0	0	4	11
2	7	5	1	0
0	3	8	4	0
0	0	4	7	4
7	3	4	1	0
0	0	6	2	7
0	1	8	6	0
4	1	10	0	0
6	3	3	3	0
5	4	3	3	0
0	0	4	11	0
0	4	9	2	0
0	0	3	3	9
0	0	3	12	0
7	2	5	1	0
4	2	8	1	0
13	0	2	0	0
0	1	8	6	0
2	2	0	5	6
10	0	5	0	0
12	0	2	1	0
2	2	6	4	1
2	1	12	0	0
0	7	6	2	0
1	4	4	6	0
1	1	3	6	4
7	2	6	0	0
1	8	3	3	0
0	6	7	2	0
15	0	0	0	0
0	3	10	2	0
0	2	5	5	3
3	0	6	5	1
6	2	5	2	0
0	0	9	6	0
1	7	7	0	0
2	2	7	4	0
8	1	4	2	0
3	0	2	4	6
0	0	7	1	7
0	0	13	2	0
10	1	2	2	0
5	0	7	1	2
2	0	2	6	5
0	2	3	10	0
0	1	2	1	11
4	5	5	1	0
0	0	13	1	0
11	1	2	0	0
1	8	1	4	0
0	5	5	3	1
2	1	7	4	0
0	7	6	1	0
2	0	3	5	4
2	1	9	2	0
10	0	3	1	0
12	0	2	0	0
7	2	5	0	0
3	1	7	3	0
3	2	5	4	0
4	0	4	3	3
2	1	5	3	3
0	4	10	0	0
12	0	2	0	0
0	1	6	5	2
2	0	6	4	2
0	5	3	6	0
0	1	4	5	4
1	3	4	4	2
0	6	4	4	0
2	0	8	3	1
4	1	4	5	0
5	0	7	2	0
3	2	6	3	0
0	1	6	2	5
3	1	6	4	0
5	7	2	0	0
2	1	8	2	1
2	6	3	3	0
2	0	5	5	2
4	0	4	2	4
3	2	6	3	0
1	0	6	5	2
5	1	7	1	0
9	0	4	1	0
1	0	6	7	0
0	4	6	4	0
0	1	5	8	0
7	0	6	0	0
1	0	8	3	1
4	0	4	1	4
1	0	4	8	0
3	1	6	1	2
0	2	6	5	0
0	0	7	4	2
10	3	0	0	0
0	3	9	1	0
5	0	7	1	0
0	1	3	6	3
0	8	5	0	0
2	0	5	6	0
4	1	6	1	1
0	2	8	3	0
7	0	3	3	0
1	1	1	8	2
4	1	3	4	1
1	2	8	2	0
0	0	2	6	5
5	0	3	5	0
6	2	2	3	0
